participant_number 212
survey_language finnish
age 21-25
gender male
profession_activity yes
are_you_1 
are_you_2 
are_you_3 
are_you_4 
are_you_5 
are_you_6 other
other_activity Maanviljelijä
language_1 Suomi 
language_1_skill fluent 
language_1_mother yes 
language_2 Englanti 
language_2_skill good 
language_2_mother no 
language_3 Ruotsi 
language_3_skill average 
language_3_mother no 
language_4 Saksa 
language_4_skill average 
language_4_mother no 
language_5  
language_5_skill none 
language_5_mother no 
selected_language Suomi 
survey_start_at 1382042811
t_limp_slow_t_walk_slow_075_025 nilkuttaa_ leveästi_ varovasti_ _ 1382046540
k_walk_regular_k_walk_sad_k_walk_slow_070_015_015 kävelee_ tutkivasti_ _ _ 1382046555
t_limp_angry_t_walk_angry_025_075 kävelee_ reippaasti_ _ _ 1382046574
k_limp_sad_k_walk_sad_075_025 nilkuttaa_ hyvin_surullisesti_ _ _ 1382046603
t_limp_regular_t_limp_fast_t_limp_angry_033_033_033 nilkuttaa_ määrätietoisesti_ _ _ 1382046617
k_walk_fast_k_walk_angry_k_walk_regular_033_033_033 kävelee_ vihaisesti_ _ _ 1382046632
k_limp_sad_k_walk_sad_025_075 kävelee_ surullisesti_ _ _ 1382046649
t_limp_angry_t_limp_sad_025_075 nilkuttaa_ surullisesti_ _ _ 1382046664
k_limp_regular_k_limp_fast_k_limp_angry_015_070_015 nilkuttaa_ nopeasti_ määrätietoisesti_ _ 1382046680
k_limp_angry_k_limp_sad_075_025 nilkuttaa_ vaikeasti_ _ _ 1382046707
t_walk_fast_t_walk_angry_t_walk_regular_070_015_015 kävelee_ elävästi_ _ _ 1382046723
k_walk_fast_k_walk_angry_k_walk_regular_015_070_015 kävelee_ vihaisesti_ _ _ 1382046749
t_limp_regular_t_limp_fast_t_limp_angry_015_015_070 nilkuttaa_ kiireesti_ varovasti_ _ 1382046765
t_limp_angry_t_walk_angry_075_025 nilkuttaa_ kiireesti_ varovasti_ _ 1382046789
